CustomerID,ExtPrice_sum,ExtPrice_mean,ExtPrice_std,ExtPrice_count,ExtCost_sum,ExtCost_mean,SalesQty_sum,SalesQty_mean,SalesQty_std,UnitPrice_mean_x,UnitPrice_std_x,UnitPrice_min_x,UnitPrice_max_x,UnitCost_mean,UnitCost_std,OrderNumber_nunique,ProductID_nunique,SalesDate_min,SalesDate_max,TotalProfit,ProfitMargin,AvgOrderValue,PriceVolatility,QuantityVolatility,CustomerLifetime,AvgDaysBetweenOrders,QuoteID_nunique,QuoteVersion_mean,QuoteVersion_max,UnitPrice_mean_y,UnitPrice_std_y,UnitPrice_min_y,UnitPrice_max_y,QuoteQty_sum,QuoteQty_mean,QuoteQty_std,QuoteStatus_<lambda>,ConvertedToOrderNumber_<lambda>,QuoteConversionRate,AvgNegotiationRounds,QuotePriceVolatility
CUST1,27659154.7,81.0919,509.2891,341084,19987430.2762,58.5997,182105681,533.9027,5876.9546,22.3424,35.3167,0.0019,2483.87,17.4788,27.5351,30620,1180,2022-01-04,2025-09-08,7671724.423799999,0.2773665539315993,903.3035499673416,1.5807030578630763,11.007538639531136,1343,0.04386022207707381,494503,1.2189,2,23.9964,38.2863,0.0019,2630.1636,337730152.2911,533.4724,5525.2565,0.5388,436341,0.8823829177982743,1.2189,1.595501825273791
CUST10,30935842.85,217.9855,711.2772,141917,21659364.6204,152.6199,336343568,2370.002,14483.7878,4.646,6.9061,0.0001,577.43,3.3962,5.2405,14357,1882,2022-01-04,2025-09-08,9276478.229600001,0.2998618228887208,2154.7567632513756,1.48646147223418,6.111297711985054,1343,0.09354321933551578,205684,1.2184,2,4.9598,7.3055,0.0001,577.43,627526543.3665,2384.609,14571.3226,0.5393,181449,0.882173625561541,1.2184,1.4729424573571515
CUST100,77583.22,61.8193,71.2393,1255,52855.23,42.1157,47492,37.8422,232.2909,37.915,289.405,0.765,10218.0,26.1305,201.6611,75,141,2022-01-03,2025-08-14,24727.989999999998,0.3187285858978268,1034.4429333333333,7.632994856916787,6.138408971994229,1319,17.586666666666666,1812,1.2223,2,36.1294,213.9527,0.765,10218.0,76750.576,32.9402,207.3393,0.5386,1615,0.8912803532008831,1.2223,5.921844813365293
CUST1000,21.45,10.725,8.0964,2,5.88,2.94,200,100.0,0.0,0.1072,0.081,0.05,0.1645,0.0294,0.0034,2,2,2022-01-11,2025-07-31,15.57,0.7258741258741259,10.725,0.7555970149253731,0.0,1297,648.5,2,1.3333,2,0.0894,0.065,0.05,0.1645,300.0,100.0,0.0,0.6667,3,1.5,1.3333,0.7270693512304252
CUST1001,18.9,18.9,0.0,1,9.24,9.24,70,70.0,0.0,0.27,0.0,0.27,0.27,0.132,0.0,1,1,2022-01-25,2022-01-25,9.659999999999998,0.5111111111111111,18.9,0.0,0.0,0,0.0,2,1.0,1,0.2825,0.0177,0.27,0.2951,144.4979,72.249,3.1805,0.5,1,0.5,1.0,0.06265486725663717
CUST1002,1086.0,217.2,217.365,5,386.81,77.362,30000,6000.0,4058.9031,0.0331,0.0144,0.0219,0.0583,0.0131,0.0011,3,1,2022-06-17,2024-06-06,699.19,0.6438213627992634,362.0,0.43504531722054385,0.67648385,720,240.0,6,1.1429,2,0.0383,0.0164,0.0219,0.0639,39995.332,5713.6189,4226.9081,0.7143,6,1.0,1.1429,0.42819843342036557
CUST1003,420.48,210.24,0.0,2,208.8,104.4,288,144.0,0.0,1.46,0.0,1.46,1.46,0.725,0.0212,2,1,2022-03-31,2022-10-27,211.68,0.5034246575342466,210.24,0.0,0.0,210,105.0,2,1.3333,2,1.6804,0.3817,1.46,2.1211,432.0,144.0,0.0,0.6667,3,1.5,1.3333,0.22714829802427994
CUST1004,115.92,38.64,17.7084,3,61.47,20.49,20,6.6667,3.0551,5.7959,0.0008,5.795,5.7967,3.0679,0.0242,1,3,2023-08-30,2023-08-30,54.45,0.46972049689441,115.92,0.00013802860642868236,0.4582627086864566,0,0.0,4,1.0,1,6.0105,0.4292,5.795,6.6543,27.0811,6.7703,2.503,0.75,3,0.75,1.0,0.07140836868812911
CUST1005,7288.24,7288.24,0.0,1,6195.0,6195.0,1,1.0,0.0,7288.24,0.0,7288.24,7288.24,6195.0,0.0,1,1,2024-03-06,2024-03-06,1093.2399999999998,0.15000054882934696,7288.24,0.0,0.0,0,0.0,1,1.0,1,7288.24,0.0,7288.24,7288.24,1.0,1.0,0.0,1.0,1,1.0,1.0,0.0
CUST1006,892.31,24.7864,38.1185,36,935.96,25.9989,3266,90.7222,72.3794,0.3298,0.2567,0.04,1.073,0.2935,0.2147,30,12,2022-01-12,2025-07-16,-43.65000000000009,-0.04891797693626665,29.743666666666666,0.7783505154639175,0.7978135450859878,1281,42.7,54,1.1692,2,0.3701,0.2811,0.04,1.2951,5311.4273,81.7143,65.8007,0.5538,46,0.8518518518518519,1.1692,0.759524452850581
