Feature,Avg_Pearson_Corr,Avg_Spearman_Corr,Overall_Score
ExtPrice_sum,0.37735048390735937,0.579584010766826,0.47846724733709267
ExtCost_std,0.3455229546356799,0.47676289785909304,0.4111429262473864
OrderNumber_nunique,0.23861336284063955,0.5089631120077881,0.37378823742421374
UnitsPerCustomer,0.25013487470323487,0.4543143019707899,0.35222458833701237
CustomerPenetration,0.23483562863457305,0.3865447455877305,0.31069018711115176
ExtPrice_max,0.11550692356687331,0.4566820994909878,0.2860945115289305
QuoteQty_std,0.10065250794642819,0.45511318349185875,0.27788284571914346
QuantityVolatility,0.10152633792218405,0.3953509653948438,0.24843865165851392
PriceVolatility,0.12106227424044917,0.3682258284276572,0.24464405133405318
SalesQty_mean,0.08603452076292697,0.34716999487435307,0.21660225781864004
ExtPrice_median,0.05042754705516369,0.3256334197079819,0.18803048338157283
QuoteVersion_max,0.0695215406842873,0.2891510366131406,0.17933628864871395
UnitCost_std,0.015430522237386715,0.33793150573982433,0.17668101398860553
UnitPrice_max_y,0.01623072908933034,0.2653972227362016,0.14081397591276595
SalesFrequency,0.044700720242905626,0.2200725784314695,0.13238664933718752
AvgDaysBetweenOrders,0.030963270013726295,0.22493319281602905,0.12794823141487766
QuoteConversionRate,0.020377120355809925,0.08564133565596332,0.05300922800588663
