UnitPrice_mean_x,UnitPrice_std_x,UnitPrice_min_x,UnitPrice_max_x,SalesQty_sum,SalesQty_mean,SalesQty_std,ExtPrice_sum,ExtPrice_mean,ExtCost_sum,ExtCost_mean,ExtCost_std,OrdersPerCustomer,RevenuePerCustomer,AvgDaysBetweenOrders,SalesDate_count,QuoteQty_sum,QuoteID_nunique,QuoteConversionRate,QuoteWinRate,Cluster,Segment
0.4434,0.3099,0.2243,0.6625,120,60.0,56.5685,35.68,17.84,15.49,7.745,7.3044,1.0,17.84,301.0,2,175.4164,4,0.5,0.4,1,Medium Activity Products
39.5075,0.0,39.5075,39.5075,8,8.0,0.0,316.06,316.06,238.0,238.0,0.0,1.0,316.06,0.0,1,24.1057,2,1.0,0.3333,2,High Activity Products
152.47,0.0,152.47,152.47,1,1.0,0.0,152.47,152.47,77.76,77.76,0.0,1.0,152.47,0.0,1,3.8,3,0.6666666666666666,0.25,2,High Activity Products
0.3416,0.0815,0.1959,0.378,875,175.0,82.9156,317.09,63.418,179.17,35.834,15.54,5.0,317.09,147.8,5,1872.4895,7,1.0,0.5556,1,Medium Activity Products
1.9494,14.4605,0.322,141.4,12485,131.4211,252.7418,6522.01,68.6527,2522.58,26.5535,50.8997,5.0,362.3338888888889,14.61111111111111,95,20700.4121,133,0.8872180451127819,0.5655,2,High Activity Products
4.4307,0.2548,3.7378,4.755,1554,11.0213,16.0946,6738.8,47.7929,5253.64,37.2599,52.9109,46.66666666666666,2246.266666666667,9.464285714285714,141,3128.7312,213,0.8497652582159625,0.5165,2,High Activity Products
54.53,0.0,54.53,54.53,1,1.0,0.0,54.53,54.53,38.17,38.17,0.0,1.0,54.53,0.0,1,4.0682,2,1.0,0.25,2,High Activity Products
20.0,0.0,20.0,20.0,4,4.0,0.0,80.0,80.0,55.6,55.6,0.0,1.0,80.0,0.0,1,11.983,2,0.5,0.3333,2,High Activity Products
29.1375,0.0,29.1375,29.1375,4,4.0,0.0,116.55,116.55,81.0,81.0,0.0,1.0,116.55,0.0,1,8.4918,2,0.5,0.5,2,High Activity Products
16.0,2.0,13.0,17.0,121,30.25,4.5,1937.0,484.25,1360.7,340.175,50.6924,4.0,1937.0,51.0,4,270.3143,7,0.8571428571428571,0.4444,2,High Activity Products
0.0308,0.0,0.0308,0.0308,50,50.0,0.0,1.54,1.54,0.8,0.8,0.0,1.0,1.54,0.0,1,50.0,1,1.0,1.0,0,Low Activity Products
9.475,0.0436,9.3436,9.49,1152,104.7273,58.7556,10909.4,991.7636,7104.16,645.8327,362.3339,4.5,5454.7,54.44444444444444,11,2058.5442,13,1.2307692307692308,0.5789,2,High Activity Products
2.9494,0.2859,2.7841,3.2795,57,19.0,1.7321,168.61,56.2033,79.81,26.6033,1.6305,2.0,168.61,38.5,3,156.3253,6,0.8333333333333334,0.375,2,High Activity Products
0.029,0.0,0.029,0.029,20,20.0,0.0,0.58,0.58,0.35,0.35,0.0,1.0,0.58,0.0,1,20.0,1,1.0,1.0,0,Low Activity Products
32.915,0.0,32.915,32.915,4,4.0,0.0,131.66,131.66,91.52,91.52,0.0,1.0,131.66,0.0,1,4.0,1,1.0,1.0,0,Low Activity Products
0.05,0.0,0.05,0.05,155,51.6667,41.9325,7.75,2.5833,3.1,1.0333,0.8386,3.0,7.75,279.0,3,180.0,3,1.3333333333333333,0.75,1,Medium Activity Products
0.7004,0.0,0.7004,0.7004,50,25.0,0.0,35.02,17.51,17.5,8.75,0.0,2.0,35.02,3.5,2,73.9251,3,0.6666666666666666,0.6667,2,High Activity Products
134.0,7.9772,129.0,149.0,20,1.6667,1.4975,2640.0,220.0,2170.0,180.8333,162.4758,2.0,440.0,105.75,12,27.7501,14,1.0714285714285714,0.7059,2,High Activity Products
