ProductID,ExtPrice_sum,ExtPrice_mean,ExtPrice_std,ExtPrice_count,ExtPrice_median,ExtPrice_min,ExtPrice_max,ExtCost_sum,ExtCost_mean,ExtCost_std,ExtCost_median,SalesQty_sum,SalesQty_mean,SalesQty_std,SalesQty_median,SalesQty_min,SalesQty_max,UnitPrice_mean_x,UnitPrice_std_x,UnitPrice_min_x,UnitPrice_max_x,UnitPrice_median,UnitCost_mean,UnitCost_std,UnitCost_median,OrderNumber_nunique,CustomerID_nunique,SalesDate_min,SalesDate_max,SalesDate_count,TotalRevenue,TotalCost,TotalProfit,ProfitMargin,AvgOrderValue,AvgOrderQuantity,PriceVolatility,QuantityVolatility,ProductLifetimeDays,AvgDaysBetweenOrders,SalesFrequency,CustomerBase,CustomerPenetration,RevenuePerCustomer,UnitsPerCustomer,OrdersPerCustomer,QuoteID_nunique,QuoteVersion_mean,QuoteVersion_max,UnitPrice_mean_y,UnitPrice_std_y,UnitPrice_min_y,UnitPrice_max_y,QuoteQty_sum,QuoteQty_mean,QuoteQty_std,QuoteStatus_<lambda>,ConvertedToOrderNumber_<lambda>,QuoteConversionRate,QuoteWinRate,AvgQuoteNegotiations,Segment_Numeric,Segment
AAA-566-EQ4,35.68,17.84,6.4912,2,17.84,13.25,22.43,15.49,7.745,7.3044,7.745,120,60.0,56.5685,60.0,20,100,0.4434,0.3099,0.2243,0.6625,0.4434,0.129,0.0001,0.129,2,2,2023-03-22,2024-11-13,2,35.68,15.49,20.19,0.5658632286995515,17.84,60.0,0.6989174560216509,0.9428083333333334,602,301.0,1.2106135986733002,2,0.0018570102135561,17.84,60.0,1.0,4,1.2,2,0.6175,0.2221,0.2243,0.747,175.4164,35.0833,36.3337,0.4,2,0.5,0.4,1.2,0,Lower Value
AAA-894-HM9,316.06,316.06,0.0,1,316.06,316.06,316.06,238.0,238.0,0.0,238.0,8,8.0,0.0,8.0,8,8,39.5075,0.0,39.5075,39.5075,39.5075,29.75,0.0,29.75,1,1,2022-02-11,2022-02-11,1,316.06,238.0,78.06,0.246978421818642,316.06,8.0,0.0,0.0,0,0.0,365.0,1,0.000928505106778,316.06,8.0,1.0,2,1.3333,2,43.1044,3.6766,39.5075,46.8559,24.1057,8.0352,0.061,0.3333,2,1.0,0.3333,1.3333,0,Lower Value
AAA-930-HY0,152.47,152.47,0.0,1,152.47,152.47,152.47,77.76,77.76,0.0,77.76,1,1.0,0.0,1.0,1,1,152.47,0.0,152.47,152.47,152.47,77.76,0.0,77.76,1,1,2023-02-03,2023-02-03,1,152.47,77.76,74.71,0.4899980323998163,152.47,1.0,0.0,0.0,0,0.0,365.0,1,0.000928505106778,152.47,1.0,1.0,3,1.25,2,170.3279,14.3624,152.47,187.6243,3.8,0.95,0.0612,0.25,2,0.6666666666666666,0.25,1.25,0,Lower Value
AAB-404-SJ3,317.09,63.418,35.7466,5,75.6,14.69,94.5,179.17,35.834,15.54,37.94,875,175.0,82.9156,200.0,75,250,0.3416,0.0815,0.1959,0.378,0.378,0.2112,0.0233,0.213,5,1,2022-04-01,2024-04-09,5,317.09,179.17,137.92,0.4349553754454571,63.41799999999999,175.0,0.2385831381733021,0.4738034285714285,739,147.8,2.466216216216216,1,0.000928505106778,317.09,875.0,5.0,7,1.2222,2,0.4037,0.1057,0.1959,0.5556,1872.4895,208.0544,70.577,0.5556,7,1.0,0.5556,1.2222,0,Lower Value
AAB-632-DK3,6522.01,68.6527,170.7471,95,38.3,0.47,1295.53,2522.58,26.5535,50.8997,19.13,12485,131.4211,252.7418,100.0,1,2311,1.9494,14.4605,0.322,141.4,0.4154,0.8089,5.9063,0.1943,90,18,2022-01-13,2025-08-20,95,6522.01,2522.58,3999.43,0.6132204642433852,72.46677777777778,138.72222222222223,7.417923463629835,1.923144761381544,1315,14.61111111111111,24.962006079027358,18,0.0167130919220055,362.3338888888889,693.6111111111111,5.0,133,1.2083,2,1.3449,10.8719,0.322,141.4,20700.4121,123.2167,204.8101,0.5655,118,0.8872180451127819,0.5655,1.2083,0,Lower Value
AAC-489-NY9,6738.8,47.7929,64.6677,141,26.63,4.27,538.27,5253.64,37.2599,52.9109,21.3,1554,11.0213,16.0946,6.0,1,144,4.4307,0.2548,3.7378,4.755,4.4383,3.4474,0.2286,3.55,140,3,2022-01-11,2025-08-28,141,6738.8,5253.64,1485.16,0.2203893868344512,48.13428571428572,11.1,0.0575078430044913,1.4603177483599938,1325,9.464285714285714,38.5369532428356,3,0.0027855153203342,2246.266666666667,518.0,46.66666666666666,213,1.2198,2,4.7478,0.5412,3.7378,7.0606,3128.7312,11.4606,14.9292,0.5165,181,0.8497652582159625,0.5165,1.2198,0,Lower Value
AAC-885-MP2,54.53,54.53,0.0,1,54.53,54.53,54.53,38.17,38.17,0.0,38.17,1,1.0,0.0,1.0,1,1,54.53,0.0,54.53,54.53,54.53,38.17,0.0,38.17,1,1,2023-03-21,2023-03-21,1,54.53,38.17,16.36,0.3000183385292499,54.53,1.0,0.0,0.0,0,0.0,365.0,1,0.000928505106778,54.53,1.0,1.0,2,1.5,2,60.4339,4.4973,54.53,65.4429,4.0682,1.017,0.0197,0.25,2,1.0,0.25,1.5,0,Lower Value
AAD-023-HJ1,80.0,80.0,0.0,1,80.0,80.0,80.0,55.6,55.6,0.0,55.6,4,4.0,0.0,4.0,4,4,20.0,0.0,20.0,20.0,20.0,13.9,0.0,13.9,1,1,2023-03-21,2023-03-21,1,80.0,55.6,24.4,0.305,80.0,4.0,0.0,0.0,0,0.0,365.0,1,0.000928505106778,80.0,4.0,1.0,2,1.3333,2,21.5974,1.3914,20.0,22.5454,11.983,3.9943,0.0049,0.3333,1,0.5,0.3333,1.3333,0,Lower Value
AAD-848-DD8,116.55,116.55,0.0,1,116.55,116.55,116.55,81.0,81.0,0.0,81.0,4,4.0,0.0,4.0,4,4,29.1375,0.0,29.1375,29.1375,29.1375,20.25,0.0,20.25,1,1,2024-11-08,2024-11-08,1,116.55,81.0,35.55,0.305019305019305,116.55,4.0,0.0,0.0,0,0.0,365.0,1,0.000928505106778,116.55,4.0,1.0,2,1.0,1,30.6965,2.2047,29.1375,32.2554,8.4918,4.2459,0.3478,0.5,1,0.5,0.5,1.0,0,Lower Value
AAD-944-SM9,1937.0,484.25,98.9558,4,467.5,390.0,612.0,1360.7,340.175,50.6924,354.0,121,30.25,4.5,30.0,25,36,16.0,2.0,13.0,17.0,17.0,11.25,0.6403,11.2,4,1,2024-11-07,2025-05-30,4,1937.0,1360.7,576.3,0.2975219411461022,484.25,30.25,0.125,0.1487603305785124,204,51.0,7.121951219512195,1,0.000928505106778,1937.0,121.0,4.0,7,1.2222,2,18.4107,3.0023,13.0,23.6287,270.3143,30.0349,4.3749,0.4444,6,0.8571428571428571,0.4444,1.2222,0,Lower Value
AAE-549-HJ0,1.54,1.54,0.0,1,1.54,1.54,1.54,0.8,0.8,0.0,0.8,50,50.0,0.0,50.0,50,50,0.0308,0.0,0.0308,0.0308,0.0308,0.016,0.0,0.016,1,1,2022-08-15,2022-08-15,1,1.54,0.8,0.74,0.4805194805194805,1.54,50.0,0.0,0.0,0,0.0,365.0,1,0.000928505106778,1.54,50.0,1.0,1,1.0,1,0.0308,0.0,0.0308,0.0308,50.0,50.0,0.0,1.0,1,1.0,1.0,1.0,0,Lower Value
