ProductID,ExtPrice_sum,ExtPrice_mean,ExtPrice_std,ExtPrice_count,ExtCost_sum,ExtCost_mean,SalesQty_sum,SalesQty_mean,SalesQty_std,UnitPrice_mean_x,UnitPrice_std_x,UnitPrice_min_x,UnitPrice_max_x,UnitCost_mean,UnitCost_std,OrderNumber_nunique,CustomerID_nunique,SalesDate_min,SalesDate_max,TotalProfit,ProfitMargin,AvgOrderValue,PriceVolatility,QuantityVolatility,ProductLifetime,AvgDaysBetweenOrders,QuoteID_nunique,QuoteVersion_mean,QuoteVersion_max,UnitPrice_mean_y,UnitPrice_std_y,UnitPrice_min_y,UnitPrice_max_y,QuoteQty_sum,QuoteQty_mean,QuoteQty_std,QuoteStatus_<lambda>,ConvertedToOrderNumber_<lambda>,QuoteConversionRate,AvgNegotiationRounds,QuotePriceVolatility
AAA-566-EQ4,35.68,17.84,6.4912,2,15.49,7.745,120,60.0,56.5685,0.4434,0.3099,0.2243,0.6625,0.129,0.0001,2,2,2023-03-22,2024-11-13,20.189999999999998,0.5658632286995515,17.84,0.6989174560216509,0.9428083333333334,602,301.0,4,1.2,2,0.6175,0.2221,0.2243,0.747,175.4164,35.0833,36.3337,0.4,2,0.5,1.2,0.35967611336032385
AAA-894-HM9,316.06,316.06,0.0,1,238.0,238.0,8,8.0,0.0,39.5075,0.0,39.5075,39.5075,29.75,0.0,1,1,2022-02-11,2022-02-11,78.06,0.24697842181864205,316.06,0.0,0.0,0,0.0,2,1.3333,2,43.1044,3.6766,39.5075,46.8559,24.1057,8.0352,0.061,0.3333,2,1.0,1.3333,0.08529523668117409
AAA-930-HY0,152.47,152.47,0.0,1,77.76,77.76,1,1.0,0.0,152.47,0.0,152.47,152.47,77.76,0.0,1,1,2023-02-03,2023-02-03,74.71,0.4899980323998163,152.47,0.0,0.0,0,0.0,3,1.25,2,170.3279,14.3624,152.47,187.6243,3.8,0.95,0.0612,0.25,2,0.6666666666666666,1.25,0.0843220635022213
AAB-404-SJ3,317.09,63.418,35.7466,5,179.17,35.834,875,175.0,82.9156,0.3416,0.0815,0.1959,0.378,0.2112,0.0233,5,1,2022-04-01,2024-04-09,137.92,0.4349553754454571,63.41799999999999,0.2385831381733021,0.47380342857142854,739,147.8,7,1.2222,2,0.4037,0.1057,0.1959,0.5556,1872.4895,208.0544,70.577,0.5556,7,1.0,1.2222,0.2618280901659648
AAB-632-DK3,6522.01,68.6527,170.7471,95,2522.58,26.5535,12485,131.4211,252.7418,1.9494,14.4605,0.322,141.4,0.8089,5.9063,90,18,2022-01-13,2025-08-20,3999.4300000000003,0.6132204642433852,72.46677777777778,7.417923463629835,1.923144761381544,1315,14.61111111111111,133,1.2083,2,1.3449,10.8719,0.322,141.4,20700.4121,123.2167,204.8101,0.5655,118,0.8872180451127819,1.2083,8.08379805189977
AAC-489-NY9,6738.8,47.7929,64.6677,141,5253.64,37.2599,1554,11.0213,16.0946,4.4307,0.2548,3.7378,4.755,3.4474,0.2286,140,3,2022-01-11,2025-08-28,1485.1599999999999,0.22038938683445122,48.13428571428572,0.057507843004491396,1.4603177483599938,1325,9.464285714285714,213,1.2198,2,4.7478,0.5412,3.7378,7.0606,3128.7312,11.4606,14.9292,0.5165,181,0.8497652582159625,1.2198,0.11398963730569948
AAC-885-MP2,54.53,54.53,0.0,1,38.17,38.17,1,1.0,0.0,54.53,0.0,54.53,54.53,38.17,0.0,1,1,2023-03-21,2023-03-21,16.36,0.3000183385292499,54.53,0.0,0.0,0,0.0,2,1.5,2,60.4339,4.4973,54.53,65.4429,4.0682,1.017,0.0197,0.25,2,1.0,1.5,0.0744168422028034
AAD-023-HJ1,80.0,80.0,0.0,1,55.6,55.6,4,4.0,0.0,20.0,0.0,20.0,20.0,13.9,0.0,1,1,2023-03-21,2023-03-21,24.4,0.305,80.0,0.0,0.0,0,0.0,2,1.3333,2,21.5974,1.3914,20.0,22.5454,11.983,3.9943,0.0049,0.3333,1,0.5,1.3333,0.06442442145813848
AAD-848-DD8,116.55,116.55,0.0,1,81.0,81.0,4,4.0,0.0,29.1375,0.0,29.1375,29.1375,20.25,0.0,1,1,2024-11-08,2024-11-08,35.55,0.305019305019305,116.55,0.0,0.0,0,0.0,2,1.0,1,30.6965,2.2047,29.1375,32.2554,8.4918,4.2459,0.3478,0.5,1,0.5,1.0,0.0718225204827912
AAD-944-SM9,1937.0,484.25,98.9558,4,1360.7,340.175,121,30.25,4.5,16.0,2.0,13.0,17.0,11.25,0.6403,4,1,2024-11-07,2025-05-30,576.3,0.2975219411461022,484.25,0.125,0.1487603305785124,204,51.0,7,1.2222,2,18.4107,3.0023,13.0,23.6287,270.3143,30.0349,4.3749,0.4444,6,0.8571428571428571,1.2222,0.1630736473898331
