CustomerID,ExtPrice_sum,ExtPrice_mean,ExtPrice_std,ExtPrice_count,ExtPrice_median,ExtPrice_min,ExtPrice_max,ExtCost_sum,ExtCost_mean,ExtCost_std,ExtCost_median,SalesQty_sum,SalesQty_mean,SalesQty_std,SalesQty_median,SalesQty_min,SalesQty_max,UnitPrice_mean_x,UnitPrice_std_x,UnitPrice_min_x,UnitPrice_max_x,UnitPrice_median,UnitCost_mean,UnitCost_std,UnitCost_median,OrderNumber_nunique,ProductID_nunique,SalesDate_min,SalesDate_max,SalesDate_count,TotalRevenue,TotalCost,TotalProfit,ProfitMargin,AvgOrderValue,AvgOrderQuantity,PriceVolatility,QuantityVolatility,CustomerLifetimeDays,AvgDaysBetweenOrders,OrderFrequency,ProductDiversity,AvgProductsPerOrder,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFMScore,CustomerLifetimeValue,CustomerLoyaltyScore,QuoteID_nunique,QuoteVersion_mean,QuoteVersion_max,UnitPrice_mean_y,UnitPrice_std_y,UnitPrice_min_y,UnitPrice_max_y,QuoteQty_sum,QuoteQty_mean,QuoteQty_std,QuoteStatus_<lambda>,ConvertedToOrderNumber_<lambda>,QuoteConversionRate,QuoteWinRate,AvgNegotiationRounds,QuotePriceVolatility,Cluster,Cluster_Numeric
CUST100,77583.22,61.8193,71.2393,1255,39.12,1.46,736.88,52855.23,42.1157,48.8026,23.8,47492,37.8422,232.2909,4.0,1,4000,37.915,289.405,0.765,10218.0,18.75,26.1305,201.6611,13.41,75,141,1/3/2022,8/14/2025,1255,77583.22,52855.23,24727.99,0.318728586,1034.442933,633.2266667,7.632994857,6.138408972,1319,17.58666667,20.73863636,141,1.88,25,75,77583.22,4,4,5,445,77583.22,223797.75,1812,1.2223,2,36.1294,213.9527,0.765,10218.0,76750.576,32.9402,207.3393,0.5386,1615,0.891280353,0.5386,1.2223,5.921844813,Platinum,5
CUST1000,21.45,10.725,8.0964,2,10.725,5.0,16.45,5.88,2.94,0.3394,2.94,200,100.0,0.0,100.0,100,100,0.1072,0.081,0.05,0.1645,0.1072,0.0294,0.0034,0.0294,2,2,1/11/2022,7/31/2025,2,21.45,5.88,15.57,0.725874126,10.725,100.0,0.755597015,0.0,1297,648.5,0.562403698,2,1.0,39,2,21.45,4,1,1,411,21.45,1.0725,2,1.3333,2,0.0894,0.065,0.05,0.1645,300.0,100.0,0.0,0.6667,3,1.5,0.6667,1.3333,0.727069351,Platinum,5
CUST1001,18.9,18.9,0.0,1,18.9,18.9,18.9,9.24,9.24,0.0,9.24,70,70.0,0.0,70.0,70,70,0.27,0.0,0.27,0.27,0.27,0.132,0.0,0.132,1,1,1/25/2022,1/25/2022,1,18.9,9.24,9.66,0.511111111,18.9,70.0,0.0,0.0,0,0.0,365.0,1,1.0,1322,1,18.9,1,1,1,111,18.9,0.014285714,2,1.0,1,0.2825,0.0177,0.27,0.2951,144.4979,72.249,3.1805,0.5,1,0.5,0.5,1.0,0.062654867,Diamond,4
CUST1002,1086.0,217.2,217.365,5,152.42,15.14,583.0,386.81,77.362,52.5495,64.08,30000,6000.0,4058.9031,5367.0,533,10000,0.0331,0.0144,0.0219,0.0583,0.0284,0.0131,0.0011,0.0139,3,1,6/17/2022,6/6/2024,5,1086.0,386.81,699.19,0.643821363,362.0,10000.0,0.435045317,0.67648385,720,240.0,1.518723994,1,0.333333333,459,3,1086.0,2,1,2,212,1086.0,7.082608696,6,1.1429,2,0.0383,0.0164,0.0219,0.0639,39995.332,5713.6189,4226.9081,0.7143,6,1.0,0.7143,1.1429,0.428198433,Diamond,4
CUST1003,420.48,210.24,0.0,2,210.24,210.24,210.24,208.8,104.4,3.0547,104.4,288,144.0,0.0,144.0,144,144,1.46,0.0,1.46,1.46,1.46,0.725,0.0212,0.725,2,1,3/31/2022,10/27/2022,2,420.48,208.8,211.68,0.503424658,210.24,144.0,0.0,0.0,210,105.0,3.45971564,1,0.5,1047,2,420.48,1,1,1,111,420.48,0.802442748,2,1.3333,2,1.6804,0.3817,1.46,2.1211,432.0,144.0,0.0,0.6667,3,1.5,0.6667,1.3333,0.227148298,Diamond,4
CUST1004,115.92,38.64,17.7084,3,34.78,23.18,57.96,61.47,20.49,9.4894,18.49,20,6.6667,3.0551,6.0,4,10,5.7959,0.0008,5.795,5.7967,5.796,3.0679,0.0242,3.0817,1,3,8/30/2023,8/30/2023,3,115.92,61.47,54.45,0.469720497,115.92,20.0,0.000138029,0.458262709,0,0.0,365.0,3,3.0,740,1,115.92,2,1,1,211,115.92,0.156437247,4,1.0,1,6.0105,0.4292,5.795,6.6543,27.0811,6.7703,2.503,0.75,3,0.75,0.75,1.0,0.071408369,Diamond,4
CUST1005,7288.24,7288.24,0.0,1,7288.24,7288.24,7288.24,6195.0,6195.0,0.0,6195.0,1,1.0,0.0,1.0,1,1,7288.24,0.0,7288.24,7288.24,7288.24,6195.0,0.0,6195.0,1,1,3/6/2024,3/6/2024,1,7288.24,6195.0,1093.24,0.150000549,7288.24,1.0,0.0,0.0,0,0.0,365.0,1,1.0,551,1,7288.24,2,1,3,213,7288.24,13.20333333,1,1.0,1,7288.24,0.0,7288.24,7288.24,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,0.0,Diamond,4
CUST1006,892.31,24.7864,38.1185,36,9.75,2.06,198.0,935.96,25.9989,45.4718,8.56,3266,90.7222,72.3794,100.0,10,300,0.3298,0.2567,0.04,1.073,0.278,0.2935,0.2147,0.3033,30,12,1/12/2022,7/16/2025,36,892.31,935.96,-43.65,-0.048917977,29.74366667,108.8666667,0.778350515,0.797813545,1281,42.7,8.541341654,12,0.4,54,30,892.31,4,4,2,442,892.31,486.7145455,54,1.1692,2,0.3701,0.2811,0.04,1.2951,5311.4273,81.7143,65.8007,0.5538,46,0.851851852,0.5538,1.1692,0.759524453,Platinum,5
CUST1007,4698.08,276.3576,263.0192,17,170.06,46.4,899.4,2659.14,156.42,143.5981,90.81,7361,433.0,311.1033,288.0,160,1056,0.6292,0.2896,0.29,0.8994,0.83,0.3542,0.1416,0.454,8,2,1/11/2022,5/24/2023,17,4698.08,2659.14,2038.94,0.433994313,587.26,920.125,0.460267006,0.718483372,498,62.25,5.851703407,2,0.25,838,8,4698.08,2,2,3,223,4698.08,44.79694875,26,1.2778,2,0.7468,0.3018,0.29,1.1024,17313.6405,480.9345,328.0477,0.4722,23,0.884615385,0.4722,1.2778,0.404124264,Diamond,4
CUST1008,15.0,15.0,0.0,1,15.0,15.0,15.0,6.0,6.0,0.0,6.0,50,50.0,0.0,50.0,50,50,0.3,0.0,0.3,0.3,0.3,0.12,0.0,0.12,1,1,2/8/2022,2/8/2022,1,15.0,6.0,9.0,0.6,15.0,50.0,0.0,0.0,0,0.0,365.0,1,1.0,1308,1,15.0,1,1,1,111,15.0,0.011459129,1,1.0,1,0.3,0.0,0.3,0.3,50.0,50.0,0.0,1.0,1,1.0,1.0,1.0,0.0,Diamond,4
